Stream,Personality,Academic Performance,Career
1,0,2,Account Clerk
4,4,2,Account Manager
4,4,3,Account Manager
5,4,2,Account Manager
1,0,1,Accountant
1,0,0,Accountant
1,1,3,Accounts Payable Clerk
1,3,2,Accounts Payable Clerk
1,1,3,Accounts Receivable Clerk 
1,3,2,Accounts Receivable Clerk 
1,1,1,Actuary
1,0,0,Actuary
1,3,3,Administrative Assistant 
1,0,2,Administrative Assistant 
0,2,1,Advertising Assistant
0,2,2,Advertising Assistant
0,2,3,Advertising Assistant
1,2,2,Advertising Coordinator 
1,4,2,Advertising Coordinator 
1,2,0,Advertising Manager
0,2,0,Advertising Manager
0,4,0,Advertising Manager
1,2,1,Advertising Manager 
1,4,1,Advertising Manager 
4,1,0,Aerospace Engineer
4,1,1,Aerospace Engineer
4,3,0,Aerospace Engineer
4,3,1,Aerospace Engineer
4,2,0,Aerospace Engineer
4,2,1,Aerospace Engineer
4,4,0,Aerospace Engineer
4,0,0,Aerospace Engineer
4,0,1,Aerospace Engineer
5,1,0,Agricultural and Food Scientist
5,1,3,Agricultural and food scientist
5,3,3,Agricultural and food scientist
5,2,3,Agricultural and food scientist
5,4,3,Agricultural and food scientist
5,0,3,Agricultural and food scientist
4,3,1,Agricultural Engineer
5,3,1,Agricultural Engineer
5,0,1,Agricultural engineer
3,3,0,Agricultural Scientist
3,3,1,Agricultural Scientist
3,3,2,Agricultural Scientist
3,3,3,Agriculture technician
5,1,2,Agronomist
3,1,0,Agronomist
5,3,2,Agronomist
5,2,2,Agronomist
3,2,0,Agronomist
5,0,2,Agronomist
3,3,2,Animal Behaviorist
3,0,3,Animal Behaviorist
5,1,0,Animal Breeder
5,0,0,Animal Breeder
3,3,3,Animal care technician
3,1,3,Animal Caretaker
3,2,3,Animal Control Officer
3,4,3,Animal Control Officer
5,3,2,Animal Scientist
5,2,2,Animal Scientist
5,0,2,Animal Scientist
3,2,3,Animal Trainer
3,4,3,Animal Trainer
0,2,0,Animator 
4,2,2,Application Engineer
4,4,1,Application Engineer
4,4,2,Application Engineer
1,1,1,Appraisal Manager 
4,1,3,Apprentice Carpenter
4,3,3,Apprentice Carpenter
4,2,3,Apprentice Carpenter
4,0,3,Apprentice Carpenter
4,1,3,Apprentice Electrician
4,3,3,Apprentice Electrician
4,2,3,Apprentice Electrician
4,0,3,Apprentice Electrician
4,1,3,Apprentice HVAC Technician
4,3,3,Apprentice HVAC Technician
4,2,3,Apprentice HVAC Technician
4,0,3,Apprentice HVAC Technician
4,1,3,Apprentice Plumber
4,3,3,Apprentice Plumber
4,2,3,Apprentice Plumber
4,0,3,Apprentice Plumber
4,1,3,Apprentice Welder
4,3,3,Apprentice Welder
4,2,3,Apprentice Welder
4,0,3,Apprentice Welder
5,1,3,Aquaculture farmer
5,3,3,Aquaculture farmer
